district,household_size,monthly_income_npr,land_owned_hectares,crop_diversity_score,livestock_count,distance_to_market_km,remittance_income,education_years_head,meals_per_day,diet_diversity_score,disaster_exposure_count,water_access,food_security_status
Sindhuli,7,49519.80138,1.192902877,6,1,9,28275.29752,9,3,4,5,1,0
Sindhupalchok,8,45605.92688,0.447359007,10,5,2,5608.919539,1,3,3,0,1,1
Salyan,9,36209.59183,0.450913556,8,4,20,7720.752962,13,3,10,1,1,0
Gorkha,11,36656.95908,1.953751305,4,2,35,1576.130798,4,2,9,3,1,2
Sindhupalchok,6,11322.42431,0.232175698,7,1,9,2396.81263,6,2,7,0,1,1
Bajura,6,7959.831199,0.391826643,3,1,6,4832.480242,10,3,1,3,1,1
Myagdi,8,32170.84359,1.001874635,1,3,21,752.1802752,2,2,3,5,1,2
Lamjung,5,24867.43703,0.85355658,9,3,22,3217.074168,11,3,12,3,1,0
Rasuwa,3,44377.26455,0.185383812,9,3,11,7887.64297,13,3,3,4,0,1
Mahottari,3,38154.8759,0.098282004,6,5,38,7169.62366,0,3,6,2,0,0
Kailali,6,22635.6097,0.723794492,2,4,12,3322.692846,15,2,2,1,1,2
Salyan,2,37611.17535,0.178765662,8,3,39,1258.074041,14,3,4,0,1,0
Mustang,6,28308.27543,1.535849205,10,0,12,5744.136169,0,2,12,5,1,1
Jumla,6,68065.62205,0.083038633,6,7,32,20517.77856,12,3,2,3,1,1
Parbat,8,41179.87678,0.229912739,7,3,30,10703.29676,14,3,5,5,0,1
Gorkha,7,10030.28821,0.033807145,1,4,47,44006.57383,16,2,4,4,1,2
Dadeldhura,8,64128.2416,0.729030983,3,4,27,2260.360821,8,2,4,0,1,1
Gorkha,9,24869.61594,1.331291957,1,4,18,3484.996152,4,3,12,5,1,1
Udayapur,6,19404.20815,0.606154059,10,1,20,4933.802587,11,3,4,4,1,1
Ramechhap,3,69298.98644,1.665987112,1,4,31,196.3074658,16,3,4,0,1,0
Kapilvastu,10,40533.38652,0.082526387,1,3,25,43071.02174,10,3,5,4,1,1
Sindhuli,3,46212.25612,0.055094151,4,4,12,8841.643985,10,2,2,4,1,1
Terhathum,11,46728.96185,1.093625951,7,2,28,9856.55371,7,3,6,2,1,1
Dhankuta,1,31704.16454,1.160731868,7,5,6,2577.089278,14,2,1,3,1,1
Kanchanpur,11,25841.51568,1.066854288,5,3,46,30917.85942,1,3,10,1,1,1
Dhanusa,5,28451.88072,0.962565463,6,1,25,17695.65483,9,2,2,1,1,2
Gorkha,4,60741.86047,0.269864998,2,4,5,8467.64206,13,3,3,0,0,1
Kapilvastu,9,38260.60085,0.147127741,5,6,31,31552.50941,4,3,2,0,1,2
Dailekh,9,56006.64064,1.585391354,7,1,35,35380.62495,16,2,3,5,0,2
Dolakha,5,33776.87796,0.220035326,9,3,22,761.1996738,6,2,8,5,1,1
Lalitpur,10,22913.86276,0.304905166,6,2,10,1905.992313,11,2,3,2,0,2
Lamjung,4,11924.53642,0.721502249,10,6,20,420.2570933,14,3,11,0,1,0
Rolpa,7,45368.05096,0.208337034,4,1,18,13074.43069,13,2,10,1,1,0
Salyan,6,62105.56925,1.025986778,3,4,33,3687.431264,9,3,1,3,1,0
Terhathum,4,20824.43187,0.043564754,9,2,48,27957.99439,16,2,11,2,1,1
Dhading,10,43213.9611,0.939777249,7,5,46,9407.972147,0,3,8,0,0,2
Dhading,2,12990.14855,0.552557869,6,2,49,27275.53287,3,3,8,2,0,1
Ramechhap,1,26108.85317,0.510573829,7,1,43,12165.62963,8,2,7,2,0,1
Lalitpur,4,39286.98857,0.367911098,8,2,34,23856.87238,3,3,4,2,1,0
Kathmandu,4,7347.294629,0.194645475,5,5,48,6974.763907,4,3,12,0,1,1
Humla,1,34711.62796,0.374251354,3,2,30,43614.12888,14,3,5,4,1,0
Baitadi,6,21612.79243,0.358733305,3,2,45,16501.3432,7,3,12,0,1,0
Jumla,4,44676.14761,0.525887581,2,3,28,13576.2025,1,2,12,0,1,0
Kapilvastu,1,32353.58973,0.198415781,8,4,5,6516.227583,12,2,11,5,0,1
Sarlahi,1,50031.02431,0.048462912,1,2,35,41513.17688,12,2,10,0,0,1
Okhaldhunga,1,30526.42741,0.094055059,8,4,30,6181.328931,13,3,6,0,1,0
Mustang,8,13201.92768,0.720740797,3,4,31,27105.48174,14,3,6,0,0,1
Humla,10,11208.6387,0.013649484,9,3,39,7770.478297,11,3,7,2,1,2
Arghakhanchi,8,4455.847943,1.164614053,2,7,19,21862.60265,4,3,4,2,1,1
Dhanusa,2,45127.32532,0.711281686,10,0,21,36435.48155,2,2,8,0,1,0
Palpa,11,75923.69471,0.8768346,9,4,2,9399.359618,2,3,2,5,0,2
Lalitpur,7,41963.81019,1.08467642,6,5,7,11202.49884,13,3,9,3,1,0
Nawalparasi West (Parasi),8,61752.75011,0.078550905,1,3,44,6014.842463,1,3,6,5,1,2
Bhojpur,8,53137.17265,1.037105499,5,0,18,843.7254591,12,3,12,3,1,0
Kaski,11,26706.62384,0.421485257,10,5,30,15854.04763,1,1,1,4,0,2
Sindhupalchok,10,55245.0557,1.300433206,9,4,31,1911.408478,11,1,1,3,1,2
Nawalparasi West (Parasi),11,27342.80494,1.306029443,6,1,14,6555.705004,1,3,8,1,0,1
Rukum West,7,27660.67409,0.014685079,7,0,38,6450.069282,7,2,10,1,1,2
Jajarkot,5,31662.52279,0.289600697,4,3,30,2455.508872,4,3,10,3,1,0
Mugu,1,32420.83164,0.448433792,1,4,2,16481.14867,10,2,7,0,0,0
Chitwan,9,45581.91141,0.68059359,5,4,31,2878.295264,12,3,3,3,0,2
Gorkha,7,24265.81223,0.20227992,2,1,9,22598.91199,16,3,8,1,0,1
Kanchanpur,2,49225.64446,0.174325504,8,2,27,4300.819442,15,3,8,3,0,1
Mahottari,6,48995.90533,0.288047622,4,1,26,5080.157191,14,3,7,2,0,0
Rasuwa,2,40487.41652,0.417015797,1,1,47,6317.706031,5,3,5,4,1,1
Salyan,1,66033.79054,1.811354254,10,0,45,2486.437366,3,3,8,2,0,0
Surkhet,7,55598.28238,0.861564271,7,4,39,8544.429013,3,3,5,5,0,1
Kanchanpur,2,52115.66864,0.336557215,2,3,42,1256.026009,12,3,1,2,1,1
Nawalparasi West (Parasi),2,36058.45399,0.033539919,3,1,30,8356.082608,8,3,8,4,1,1
Sindhupalchok,11,40628.25821,0.110729247,9,5,33,6230.734802,9,2,7,0,0,2
Chitwan,5,43380.91781,0.36520027,9,5,4,6193.361717,13,3,7,4,1,0
Rupandehi,5,35211.86198,1.008643813,2,3,10,16211.92086,7,3,2,0,1,0
Kavrepalanchok,7,28990.88864,0.287494957,3,7,6,21981.54896,2,3,11,1,1,0
Kailali,1,3000,0.463959581,9,1,7,6600.813874,8,2,12,3,1,2
Dhading,8,46484.24655,1.334291443,1,3,16,4557.470438,0,3,12,1,1,0
Sankhuwasabha,3,51663.15547,1.470625025,2,5,43,10228.64146,14,3,12,1,0,0
Dhanusa,4,16422.0983,0.145835583,2,2,49,23247.67149,14,3,3,1,0,2
Gorkha,9,44682.6984,0.02674424,10,2,38,15516.52888,6,3,12,3,1,1
Panchthar,4,25535.57315,0.21866058,3,2,40,581.13344,14,2,3,0,1,1
Gulmi,10,29135.53308,0.714046505,10,5,13,9806.86418,6,3,12,4,0,2
Kapilvastu,5,55972.16844,1.810936453,3,2,23,70599.84598,12,3,12,0,1,0
Tanahun,7,19149.84976,0.048096429,10,1,29,6534.091651,11,2,11,0,1,2
Baglung,4,19125.63538,0.017338408,2,3,49,8716.489765,6,3,10,2,1,2
Nuwakot,1,63877.34985,1.293260983,8,3,14,5082.667082,6,2,6,3,1,0
Pyuthan,9,32671.09282,0.827341693,8,1,3,10328.20734,14,2,6,0,1,0
Rasuwa,4,54944.72949,2.915927471,8,5,12,2631.762025,8,3,3,0,0,0
Sindhupalchok,9,9420.754211,0.303296797,2,2,4,4255.622482,5,3,11,1,1,2
